Wall time,Step,Value
1495413472.597438,314999,0.6600000262260437
1495413473.257558,315099,-0.15000000596046448
1495413474.554869,315299,-0.07999999821186066
1495413476.653076,315599,0.8299999833106995
1495413479.676171,316099,-0.3799999952316284
1495413481.41707,316399,-0.2199999988079071
1495413482.000666,316499,-0.38999998569488525
1495413483.186356,316699,-0.5299999713897705
1495413492.857012,318299,0.6200000047683716
1495413496.867638,318999,-0.44999998807907104
1495413499.288746,319399,-0.30000001192092896
1495413503.399179,320099,0.6100000143051147
1495413503.998476,320199,-1.399999976158142
1495413508.128778,320899,-1.4800000190734863
1495413509.899958,321199,-0.3400000035762787
1495413524.144638,323599,-0.4099999964237213
1495413525.847166,323899,-0.46000000834465027
1495413529.876626,324599,-0.4699999988079071
1495413531.575386,324899,-0.3700000047683716
1495413532.145841,324999,-0.23999999463558197
1495413533.327127,325199,-0.4399999976158142
1495413533.906312,325299,-0.41999998688697815
1495413537.921297,325999,0.7300000190734863
1495413539.116702,326199,-0.4399999976158142
1495413545.682833,327299,1.0
1495413548.586805,327799,-0.4000000059604645
1495413554.052834,328699,-0.36000001430511475
1495413555.246507,328899,-0.1899999976158142
1495413556.518596,329099,-0.36000001430511475
1495413558.969352,329499,-0.38999998569488525
1495413560.793142,329799,-0.4399999976158142
1495413568.597411,331099,-0.3100000023841858
1495413569.201228,331199,-0.38999998569488525
1495413569.796395,331299,-0.3400000035762787
1495413573.434998,331899,-0.2800000011920929
1495413578.301831,332699,-0.3199999928474426
1495413581.742551,333299,0.5699999928474426
1495413582.359255,333399,-0.07999999821186066
1495413582.99565,333499,-0.4099999964237213
1495413585.459083,333899,-0.3700000047683716
1495413588.480436,334399,0.6000000238418579
1495413592.586373,335099,-0.5199999809265137
1495413597.326006,335899,0.6399999856948853
1495413599.761114,336299,-0.28999999165534973
1495413602.094147,336699,-0.3499999940395355
1495413603.271809,336899,-0.33000001311302185
1495413606.779343,337499,-0.33000001311302185
1495413608.5408,337799,-0.4099999964237213
1495413609.95481,337999,-0.5199999809265137
1495413611.526601,338199,-0.5799999833106995
1495413613.034581,338399,-0.3799999952316284
1495413614.961987,338699,-0.4300000071525574
1495413618.055882,339199,-0.5
1495413625.37345,340399,-0.36000001430511475
1495413628.317486,340899,-1.3700000047683716
1495413631.18865,341399,-0.41999998688697815
1495413644.679703,343199,-0.47999998927116394
1495413649.563052,343599,-0.1899999976158142
1495413653.46885,343899,-0.3799999952316284
1495413660.069491,344399,-0.3400000035762787
1495413668.412368,345099,-0.1599999964237213
1495413672.942852,345499,-0.49000000953674316
1495413675.534492,345699,-0.33000001311302185
1495413682.612819,346299,0.7400000095367432
1495413683.812535,346399,-0.2199999988079071
1495413691.340856,346999,-0.30000001192092896
1495413699.708735,347699,-0.3799999952316284
1495413707.35598,348299,-0.4300000071525574
1495413710.962819,348599,-0.33000001311302185
1495413719.48001,349199,-0.5400000214576721
1495413734.180929,350299,0.6499999761581421
1495413736.921456,350499,-0.18000000715255737
1495413746.173044,351199,-0.5299999713897705
1495413749.988514,351499,-0.2800000011920929
1495413753.950234,351799,-0.3799999952316284
1495413756.496882,351999,-0.33000001311302185
1495413763.202025,352499,1.0
1495413783.647321,354099,1.0
1495413786.258223,354299,-0.3400000035762787
1495413787.435394,354399,-0.41999998688697815
1495413792.758514,354799,-0.3100000023841858
1495413794.185292,354899,-0.3400000035762787
1495413798.406437,355299,-0.44999998807907104
1495413800.530714,355499,1.0
1495413805.094191,356099,-0.3499999940395355
1495413805.682693,356199,-0.4300000071525574
1495413809.954714,356899,-0.3199999928474426
1495413818.296472,358099,-0.25999999046325684
1495413821.299109,358599,-0.3499999940395355
1495413823.102743,358899,0.8799999952316284
1495413828.386156,359799,-0.4399999976158142
1495413828.96814,359899,0.75
1495413832.589694,360499,-0.33000001311302185
1495413833.171463,360599,-0.4399999976158142
1495413841.360366,361999,-0.4000000059604645
1495413843.789894,362399,-0.4300000071525574
